homelat,homelon,homecontinent,n
-23.4555,-52.046,South America,1
-26.4839,-51.9888,South America,1
-25.4257,-50.007,South America,2
-25.5161,-48.5225,South America,5
-23.0816,-52.4617,South America,4
-26.2292,-52.6706,South America,3
-23.914,-52.3431,South America,1
-25.4429,-49.1927,South America,12
-25.6944,-51.6536,South America,1
-25.4422,-49.0624,South America,3
-25.0916,-50.1668,South America,5
-22.8517,-51.0293,South America,1
-23.5671,-49.916,South America,2
-25.3673,-49.0763,South America,1
-25.8734,-49.4973,South America,1
-25.1892,-49.3115,South America,2
-26.095,-49.7982,South America,2
-23.3101,-51.3659,South America,1
-23.04,-51.808,South America,5
-23.9833,-51.8215,South America,3
-25.5313,-49.2031,South America,11
-23.3941,-52.6454,South America,1
-23.4441,-51.876,South America,2
-23.0361,-50.8317,South America,1
-24.3245,-50.6176,South America,6
-23.7683,-52.447,South America,1
-22.7111,-52.6188,South America,1
-24.7246,-53.7412,South America,1
-23.7656,-53.3201,South America,2
-26.2273,-51.0873,South America,2
-25.8772,-52.9051,South America,1
-26.2683,-52.7843,South America,1
-23.0011,-44.3196,South America,4
-22.8697,-42.3326,South America,3
-22.9774,-42.0267,South America,1
-22.4715,-43.8269,South America,3
-22.5481,-44.1752,South America,11
-22.764,-43.3992,South America,28
-22.1545,-42.4251,South America,2
-21.1449,-41.6822,South America,3
-22.8894,-42.0286,South America,4
-22.4658,-42.6523,South America,1
-21.7622,-41.3181,South America,4
-21.9797,-42.3664,South America,1
-22.4812,-42.2066,South America,3
-22.7858,-43.3049,South America,62
-22.5347,-42.9895,South America,3
-22.8495,-42.2299,South America,3
-22.7565,-42.8639,South America,20
-22.8636,-43.7798,South America,4
-21.1997,-41.8799,South America,2
-22.4897,-44.5675,South America,1
-22.6435,-43.6602,South America,3
-22.3768,-41.7848,South America,6
-22.6632,-43.0315,South America,11
-22.9594,-44.0409,South America,3
-22.9354,-42.8246,South America,15
-22.8028,-43.4601,South America,23
-22.4572,-43.4803,South America,2
-22.8057,-43.4233,South America,13
-22.8832,-43.1034,South America,117
-22.2932,-42.5377,South America,13
-22.7556,-43.4603,South America,68
-22.6078,-43.7108,South America,1
-22.1585,-43.304,South America,3
-23.2221,-44.7175,South America,1
-22.4309,-43.4285,South America,2
-22.52,-43.1926,South America,26
-20.9632,-42.0465,South America,1
-22.4175,-44.2952,South America,2
-22.4045,-44.2597,South America,2
-22.7102,-43.5518,South America,8
-22.4705,-44.4509,South America,6
-22.7181,-42.6276,South America,4
-22.1692,-43.5856,South America,1
-22.5174,-41.9475,South America,5
-22.9129,-43.2003,South America,1808
-21.4702,-41.1091,South America,1
-22.8268,-43.0634,South America,35
-21.638,-41.0446,South America,1
-22.8058,-43.3729,South America,25
-22.8429,-42.1026,South America,4
-21.9949,-42.9142,South America,1
-22.7526,-43.7155,South America,4
-22.0485,-42.6761,South America,1
-22.7423,-42.7202,South America,2
-22.4165,-42.9752,South America,8
-22.1165,-43.2185,South America,1
-22.2445,-43.7129,South America,2
-22.5202,-44.0996,South America,71
-5.58362,-36.914,South America,8
-5.65349,-37.7946,South America,2
-4.95254,-37.1252,South America,1
-6.37161,-35.0033,South America,1
-5.78387,-37.5586,South America,1
-5.34181,-36.8335,South America,1
-5.64323,-35.4247,South America,3
-5.70143,-35.3048,South America,5
-6.40588,-38.3899,South America,1
-5.85229,-35.3552,South America,2
-6.07063,-35.3253,South America,1
-5.18374,-37.3474,South America,63
-5.79357,-35.1986,South America,117
-5.91116,-35.271,South America,32
-6.43018,-35.6442,South America,1
-6.31195,-35.4739,South America,1
-5.79068,-35.3257,South America,11
-6.0773,-35.2417,South America,1
-5.90559,-35.6317,South America,1
-5.63058,-35.5918,South America,1
-6.45823,-38.182,South America,1
-4.83729,-37.2554,South America,1
-29.7902,-55.7949,South America,1
-29.9914,-51.0809,South America,4
-28.9698,-52.0102,South America,2
-29.5439,-49.8895,South America,1
-30.0875,-51.7275,South America,3
-31.3297,-54.0999,South America,27
-29.1662,-51.5165,South America,11
-29.6071,-51.9456,South America,1
-30.033,-52.8928,South America,2
-29.9472,-51.1016,South America,6
-29.6747,-51.0606,South America,4
-31.396,-52.6783,South America,1
-29.9128,-51.1857,South America,13
-29.7642,-50.0282,South America,4
-31.7565,-52.4889,South America,1
-29.2969,-51.5028,South America,1
-29.1629,-51.1792,South America,34
-30.5905,-51.7418,South America,1
-29.9625,-51.6289,South America,1
-30.1604,-50.2337,South America,1
-29.5148,-51.9928,South America,1
-29.5836,-51.0898,South America,2
-30.9756,-54.6694,South America,1
-30.0847,-51.6187,South America,1
-29.2351,-51.8703,South America,2
-27.6364,-52.2697,South America,3
-29.6535,-51.1843,South America,3
-29.852,-51.1841,South America,2
-29.5002,-51.9495,South America,1
-29.2227,-51.3419,South America,5
-29.259,-51.5352,South America,2
-29.8798,-50.7734,South America,1
-29.9413,-50.9869,South America,13
-30.1086,-51.3233,South America,1
-29.5456,-51.4185,South America,3
-29.5995,-51.1533,South America,4
-29.4591,-51.9644,South America,13
-28.4498,-52.1986,South America,9
-30.1346,-52.0423,South America,2
-29.6824,-51.4679,South America,1
-29.471,-53.4689,South America,1
-29.6875,-51.1328,South America,24
-29.8881,-50.2667,South America,2
-28.5964,-51.7896,South America,2
-29.6365,-51.3974,South America,1
-28.2576,-52.4091,South America,18
-31.7649,-52.3371,South America,5
-31.4473,-53.0973,South America,1
-30.0318,-51.2065,South America,303
-32.0349,-52.1071,South America,2
-29.6462,-50.5819,South America,1
-27.947,-51.8079,South America,2
-29.722,-52.4343,South America,1
-29.6868,-53.8149,South America,8
-30.8773,-55.5392,South America,7
-27.8702,-54.4796,South America,4
-29.1897,-54.8666,South America,1
-29.8268,-50.5175,South America,2
-28.5312,-51.886,South America,2
-30.3337,-54.3217,South America,1
-28.4984,-51.7064,South America,1
-29.7545,-51.1498,South America,16
-31.3564,-51.9715,South America,1
-29.5885,-51.3749,South America,2
-29.6349,-51.0064,South America,1
-29.8276,-51.145,South America,3
-27.942,-52.9231,South America,1
-28.7126,-51.9352,South America,5
-29.643,-51.6823,South America,4
-29.6505,-50.7753,South America,1
-29.7943,-51.8653,South America,4
-29.3334,-49.7333,South America,9
-29.9841,-50.1322,South America,1
-29.4772,-51.4174,South America,1
-29.7614,-57.0853,South America,3
-28.5079,-50.9418,South America,1
-30.0819,-51.0194,South America,8
-28.5359,-52.1486,South America,1
-10.9091,-37.0677,South America,33
-10.5069,-37.0628,South America,1
-10.6826,-37.4273,South America,1
-10.2158,-37.4211,South America,2
-10.4538,-36.6531,South America,2
-10.2138,-36.8442,South America,2
-10.7387,-37.8097,South America,1
-21.682,-51.0737,South America,0
-22.4733,-46.6314,South America,1
-22.5977,-47.8734,South America,1
-22.4694,-48.9863,South America,1
-22.7374,-47.3331,South America,3
-21.2076,-50.4401,South America,15
-23.5029,-47.6166,South America,1
-21.7845,-48.178,South America,7
-22.3572,-47.3842,South America,3
-22.5727,-47.1727,South America,1
-23.3965,-46.32,South America,10
-22.66,-50.4183,South America,4
-23.1171,-46.5563,South America,13
-23.1067,-48.9251,South America,3
-20.9197,-49.4385,South America,1
-24.759,-48.5013,South America,1
-20.5531,-48.5698,South America,4
-23.5057,-46.879,South America,44
-20.8929,-47.5921,South America,1
-22.3246,-49.0871,South America,11
-20.9491,-48.4791,South America,2
-21.291,-50.3432,South America,2
-23.2855,-47.6786,South America,4
-22.8837,-48.4437,South America,15
-22.9527,-46.5419,South America,26
-20.9845,-47.6572,South America,2
-23.0992,-45.7076,South America,3
-22.6665,-45.0154,South America,1
-23.3607,-46.7397,South America,32
-23.355,-46.8781,South America,5
-22.9053,-47.0659,South America,100
-23.6125,-45.4125,South America,2
-23.5235,-46.8407,South America,29
-21.1314,-48.977,South America,3
-20.9009,-49.2664,South America,1
-23.6022,-46.919,South America,53
-21.338,-47.7324,South America,2
-23.8911,-46.424,South America,2
-23.6813,-46.6205,South America,59
-21.4843,-51.535,South America,1
-24.5281,-48.1141,South America,1
-23.6437,-46.8579,South America,33
-23.8297,-46.8136,South America,4
-23.5411,-46.371,South America,35
-20.5352,-47.4039,South America,2
-23.2792,-46.7448,South America,12
-23.3229,-46.729,South America,18
-21.2544,-50.6453,South America,3
-23.4112,-46.0369,South America,2
-22.8075,-45.1938,South America,1
-23.9888,-46.258,South America,7
-23.4538,-46.5333,South America,178
-22.8529,-47.2143,South America,2
-23.6596,-47.223,South America,1
-23.7785,-45.3552,South America,1
-24.7307,-47.5383,South America,9
-23.0816,-47.2101,South America,3
-22.5832,-47.523,South America,1
-24.1736,-46.788,South America,2
-23.7161,-46.8572,South America,26
